station_id,time,num_bikes_available,name,lat,lon,hour
103,2022-05-14T06:18:40Z,32,Metro Center / 12th & G St NW,38.898364,-77.027869,6
105,2022-05-14T06:18:40Z,8,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,6
106,2022-05-14T06:18:40Z,12,17th & K St NW / Farragut Square,38.902061,-77.038322,6
113,2022-05-14T06:18:40Z,13,Columbus Circle / Union Station,38.89696,-77.00493,6
124,2022-05-14T06:18:40Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,6
144,2022-05-14T06:18:40Z,11,3rd & G St SE,38.881185,-77.001828,6
148,2022-05-14T06:18:40Z,15,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,6
159,2022-05-14T06:18:40Z,13,10th & K St NW,38.9024,-77.02622,6
169,2022-05-14T06:18:40Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,6
207,2022-05-14T06:18:40Z,7,5th St & Massachusetts Ave NW,38.90093,-77.018677,6
210,2022-05-14T06:18:40Z,14,3rd & M St NE,38.9054697149433,-77.0021304488182,6
242,2022-05-14T06:18:40Z,13,12th & U St NW,38.916787,-77.028139,6
369,2022-05-14T06:18:40Z,16,2nd & G St NE,38.89967,-77.003666,6
370,2022-05-14T06:18:40Z,12,8th & O St NW,38.90864,-77.02277,6
391,2022-05-14T06:18:40Z,13,1st & O St NW,38.908643,-77.012365,6
408,2022-05-14T06:18:40Z,10,4th St & Madison Dr NW,38.890493,-77.017253,6
418,2022-05-14T06:18:40Z,11,14th & Irving St NW,38.928552,-77.032224,6
484,2022-05-14T06:18:40Z,17,11th & Girard St NW,38.925636,-77.027112,6
485,2022-05-14T06:18:40Z,8,Connecticut Ave & R St NW,38.912644,-77.04564,6
15,2022-05-14T07:18:25Z,3,14th & V St NW,38.917931,-77.032112,7
21,2022-05-14T07:18:25Z,16,Lamont & Mt Pleasant NW,38.9319,-77.0388,7
22,2022-05-14T07:18:25Z,13,4th & M St SW,38.8767,-77.0178,7
51,2022-05-14T07:18:25Z,18,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,7
